                 User                   -  Floor
  5A9ABD24-5AE6-4873-A656-95FDF704CC0C  -  Chemicals
  5A9ABD24-5AE6-4873-A656-95FDF704CC0C  -  Customers
  5A9ABD24-5AE6-4873-A656-95FDF704CC0C  -  Equipments
  5A9ABD24-5AE6-4873-A656-95FDF704CC0C  -  Recycle
  688F0AA3-2F13-431C-A5BB-2669E612EC11  -  Archive
  688F0AA3-2F13-431C-A5BB-2669E612EC11  -  Chemicals
  688F0AA3-2F13-431C-A5BB-2669E612EC11  -  Customers
  688F0AA3-2F13-431C-A5BB-2669E612EC11  -  Development
  688F0AA3-2F13-431C-A5BB-2669E612EC11  -  Equipments
  688F0AA3-2F13-431C-A5BB-2669E612EC11  -  Recycle
  688F0AA3-2F13-431C-A5BB-2669E612EC11  -  Research
  688F0AA3-2F13-431C-A5BB-2669E612EC11  -  Servers
  8589583A-A632-4F7F-B55E-6C640E9BBBE9  -  Basement
  8589583A-A632-4F7F-B55E-6C640E9BBBE9  -  Chemicals
  8589583A-A632-4F7F-B55E-6C640E9BBBE9  -  Development
  8589583A-A632-4F7F-B55E-6C640E9BBBE9  -  Recycle
  8589583A-A632-4F7F-B55E-6C640E9BBBE9  -  Research
  89324335-3B95-4AD2-8A43-704987F762F5  -  Archive
  89324335-3B95-4AD2-8A43-704987F762F5  -  Basement
  89324335-3B95-4AD2-8A43-704987F762F5  -  Chemicals
  89324335-3B95-4AD2-8A43-704987F762F5  -  Customers
  89324335-3B95-4AD2-8A43-704987F762F5  -  Management
  89324335-3B95-4AD2-8A43-704987F762F5  -  Recycle
  89324335-3B95-4AD2-8A43-704987F762F5  -  Research
  89324335-3B95-4AD2-8A43-704987F762F5  -  Servers
  936BFDCE-E3BA-43C1-A31B-1E5EA95A3539  -  Chemicals
  936BFDCE-E3BA-43C1-A31B-1E5EA95A3539  -  Management
  936BFDCE-E3BA-43C1-A31B-1E5EA95A3539  -  Recycle
  937562D1-2156-44FB-9459-4E8A3120F666  -  Archive
  937562D1-2156-44FB-9459-4E8A3120F666  -  Basement
  937562D1-2156-44FB-9459-4E8A3120F666  -  Chemicals
  937562D1-2156-44FB-9459-4E8A3120F666  -  Customers
  937562D1-2156-44FB-9459-4E8A3120F666  -  Development
  937562D1-2156-44FB-9459-4E8A3120F666  -  Management
  937562D1-2156-44FB-9459-4E8A3120F666  -  Research
  937562D1-2156-44FB-9459-4E8A3120F666  -  Servers
  A20F3E1F-4DFD-4317-9E7A-8218B984F42F  -  Basement
  A20F3E1F-4DFD-4317-9E7A-8218B984F42F  -  Chemicals
  A20F3E1F-4DFD-4317-9E7A-8218B984F42F  -  Customers
  A20F3E1F-4DFD-4317-9E7A-8218B984F42F  -  Management
  A20F3E1F-4DFD-4317-9E7A-8218B984F42F  -  Research
  A20F3E1F-4DFD-4317-9E7A-8218B984F42F  -  Servers
  A68CF27F-0CC5-4B4F-BAA2-6DD4AB9BB50F  -  Basement
  A68CF27F-0CC5-4B4F-BAA2-6DD4AB9BB50F  -  Development
  A68CF27F-0CC5-4B4F-BAA2-6DD4AB9BB50F  -  Research
  A68CF27F-0CC5-4B4F-BAA2-6DD4AB9BB50F  -  Servers
  ACB1A619-9B23-462E-AD13-F89A9173EE8E  -  Archive
  ACB1A619-9B23-462E-AD13-F89A9173EE8E  -  Basement
  ACB1A619-9B23-462E-AD13-F89A9173EE8E  -  Chemicals
  ACB1A619-9B23-462E-AD13-F89A9173EE8E  -  Customers
  ACB1A619-9B23-462E-AD13-F89A9173EE8E  -  Equipments
  ACB1A619-9B23-462E-AD13-F89A9173EE8E  -  Servers
  BC4DFB63-17C4-4601-8F14-43E3E77C0DB3  -  Chemicals
  BC4DFB63-17C4-4601-8F14-43E3E77C0DB3  -  Research
  BC4DFB63-17C4-4601-8F14-43E3E77C0DB3  -  Servers
  D98DFB07-4426-4F03-80C7-4B0A83E061E3  -  Archive
  D98DFB07-4426-4F03-80C7-4B0A83E061E3  -  Basement
  D98DFB07-4426-4F03-80C7-4B0A83E061E3  -  Customers
  D98DFB07-4426-4F03-80C7-4B0A83E061E3  -  Development
  D98DFB07-4426-4F03-80C7-4B0A83E061E3  -  Equipments
  D98DFB07-4426-4F03-80C7-4B0A83E061E3  -  Management
  D98DFB07-4426-4F03-80C7-4B0A83E061E3  -  Recycle
  D98DFB07-4426-4F03-80C7-4B0A83E061E3  -  Research
  D98DFB07-4426-4F03-80C7-4B0A83E061E3  -  Servers
  FEA8383A-B6EB-4E8C-A6FC-668201D541B8  -  Basement
  FEA8383A-B6EB-4E8C-A6FC-668201D541B8  -  Chemicals
  FEA8383A-B6EB-4E8C-A6FC-668201D541B8  -  Customers
  FEA8383A-B6EB-4E8C-A6FC-668201D541B8  -  Development
  FEA8383A-B6EB-4E8C-A6FC-668201D541B8  -  Equipments
  FEA8383A-B6EB-4E8C-A6FC-668201D541B8  -  Management
  FEA8383A-B6EB-4E8C-A6FC-668201D541B8  -  Recycle
  FEA8383A-B6EB-4E8C-A6FC-668201D541B8  -  Research
  FEA8383A-B6EB-4E8C-A6FC-668201D541B8  -  Servers
