      Time    TNP064    XDF846    IWR395    FPT701    GUO758    PVL758    HQP689    VKY370    NPU381    AFW481    XGQ241    CIG308    ISO610    PKB567    SQC307    XZC901    PXF961    REY386    NIK876    HPQ298
     1.750     5.280     2.828     6.668   -10.359     4.504     4.061     8.124    11.500   -13.850    12.840     5.945    11.220     4.022     7.022    10.480     4.929     4.596   -10.954     9.446    10.123
     1.875     9.924     5.024    -7.843   -10.078     4.725     1.438     8.463     8.306   -13.321    11.450     5.895    11.935     5.413     7.877    11.477    -3.832    -1.636    -9.859     6.915    12.143
     2.000    14.126     3.493     4.052    11.651    -5.553     4.429     8.387     7.803    15.659    11.328     6.157   -12.270    -5.492    -8.410    11.495     4.963     2.256    11.179    11.028   -14.581
     2.125   -10.289     5.048    -6.844    10.384     3.343    -4.133    10.263    11.908    11.665    11.631     4.795   -12.116    -2.328    -3.989    10.334     3.335    -4.029     9.166     7.582    16.790
     2.250     8.693     5.821     4.393    10.611    -5.530    -4.609     9.993    -7.103   -18.037    13.079    -7.159    -9.725     2.231    -5.155    11.487     5.741    -1.349     9.578   -11.642    15.214
     2.375     5.878     3.681     5.925    11.718    -4.147    -1.864   -11.698    -9.179   -16.524    13.737    -9.233   -12.044    -4.762     3.998    11.164    -3.216    -3.217    10.318    -6.958   -11.986
     2.500    12.541     5.521     8.963    10.327     4.861    -1.536    11.765     9.561   -18.385   -10.507     8.366     6.088     5.527    -6.465    10.999     3.542     3.783    10.504     9.015    10.978
     2.625    10.611    -4.596     3.885    11.476     4.744     4.310     7.837    -6.201   -15.161    -7.563    10.688   -14.748     3.479     7.552   -11.920    -4.810     2.739    -7.857    11.055    19.316
     2.750     6.870     3.176    -4.037    10.729     4.692    -3.361     7.145     6.866   -11.490     9.118     7.667     6.104     6.052    -6.123   -11.798    -3.041     4.439    11.514   -11.522    18.779
     2.875     8.722     5.123     8.013    11.396    -3.013     3.041   -11.640     8.854    18.748     9.225   -10.392     6.816    -6.006    -5.874   -11.935    -5.134    -3.135     7.140     9.000    16.323
     3.000    -7.635     3.490    -4.635   -11.298    -5.429     1.916     7.170     7.024    12.245    13.171     8.879    -7.729     3.561     3.652    10.806    -3.248    -2.269     7.208   -10.671    13.925
     3.125    -6.084     3.397     8.501    11.319     3.137     1.831     7.485     6.439   -15.087   -12.238     1.421     8.594     6.758    -3.206    11.897    -3.477    -4.685     7.322     8.029   -17.854
     3.250   -14.084    -3.613     6.571    11.901     5.099    -4.205    -7.957    -6.866   -11.973     8.689     5.126   -13.422     4.485     3.846    10.204    -3.247     4.395   -10.044     6.930   -18.642
     3.375     7.815     5.361     6.574   -10.511    -5.535    -1.255     9.608     6.193    17.167    13.934     4.175   -11.374     2.330     9.559    10.351    -3.351    -4.190    -9.821     6.519    13.005
     3.500    12.833    -3.260    -8.015    10.499    -5.227     1.737     7.348     8.785    17.602    12.821    -9.427   -13.298     3.143    -6.162    10.238     5.911     3.166    -7.277    -7.408    19.440
     3.625    -7.676    -5.989    -8.258    11.401     3.399     1.037    11.628    11.353   -17.191    13.377    10.130     8.531     6.175     7.925    11.570    -4.630     4.332    -7.080    11.323    17.550
     3.750    12.162     3.008     9.877    11.014     5.214    -3.000    -9.429   -10.181   -13.363     8.312     9.042   -14.826    -6.039    -8.226   -11.680    -5.270     3.965    11.513     6.418    11.546
     3.875   -14.194    -3.563    -5.050    10.465    -4.606     3.911    -8.001    10.344    16.978    12.548     7.205    -9.566     3.750    -7.974    11.659    -4.226    -4.716     9.266     8.922    16.485
     4.000   -12.506     6.897    -9.942    11.441     5.156     2.055    10.360     6.269    16.472    12.097     7.959   -11.090    -4.978     5.527   -10.459    -5.099    -2.755     9.575     8.571    16.994
     4.125     7.406    -6.706    -5.157   -10.394     5.790     4.521     9.019    -7.134    12.271    11.010     5.915    12.105    -6.573     6.037    11.060     4.156     2.521   -10.731     9.378   -13.828
     4.250     7.998     3.455    -9.401    11.581     4.671    -2.625    -7.288   -11.202    10.232     8.775     3.522     8.148    -5.455    -5.154    10.106     3.728    -2.955   -10.713    -9.459    15.156
     4.375     8.722    -3.844     6.133    10.946     5.874     4.111    11.440     9.866    16.063   -10.032    -3.348    14.001     5.958     7.246    11.478    -4.600    -2.101    11.583    10.568    15.780
     4.500     9.487     2.005    -5.783    10.423    -4.002     4.855    -9.223     8.979   -17.695    10.878     9.545     5.111     2.522     5.716   -10.983     5.535     3.883   -10.655     8.386    18.674
     4.625    10.790     6.900    -7.928   -10.837     5.793     4.989     9.727    -6.246    16.247    13.165    -7.422     8.644    -5.774     7.017   -11.287     3.424     4.070   -11.295    11.145    15.499
     4.750     5.556     4.045     3.592    11.573     4.330     1.666    10.120     9.431    15.471     9.860     9.372    -6.861    -5.642     3.140    10.742     5.406    -4.144     8.665     7.416    11.616
     4.875   -11.220     3.780     5.849    11.982     3.745    -1.324    10.229     8.640   -13.084     7.061    -7.818     6.056     6.211     4.176    11.404     3.200     2.137     8.051    -8.483    14.054
     5.000     9.588     4.625     7.718    10.072     4.900     4.708    11.169     7.531    15.942    10.880     5.570    -5.095     6.414    -7.908    10.174    -3.144    -1.618     9.827     6.375    12.363
     5.125    -6.827    -5.372     5.525    11.057     4.648     3.540    10.891    10.680    11.444    12.415    -3.401   -10.807     6.077     5.949    11.707    -3.067     1.941     8.784     8.673    15.362
     5.250    14.723     3.670     5.902    11.030    -5.880    -3.941   -10.062     9.597   -19.391     8.482    -2.668    10.792    -3.168     4.917    11.828     3.932    -3.125     9.326    -8.143    14.651
     5.375   -13.554     4.491     4.162   -10.715    -5.088    -4.857    10.918    10.470    13.438   -11.604     1.785    -5.725     5.076     8.611    11.833    -4.922     2.151   -10.165     9.989   -13.550
     5.500    13.668    -2.559    -9.034    11.263     3.941     3.505    11.448   -11.911    11.644     8.320     2.099    13.878     6.317     9.037   -11.192     3.096    -2.419    10.337    -8.021   -19.622
     5.625   -13.189     4.242     4.883    11.056    -3.118     3.700   -11.874     7.949   -13.285    10.965    -1.831   -10.810     3.780     7.136    11.520     4.397     2.023     8.473     8.820    12.599
     5.750    11.570    -4.579     5.009   -11.284    -5.945    -3.471     9.058    -6.270    14.828   -12.054     1.909    14.010     2.604    -9.201    11.808    -5.048     3.856    11.044     8.109    13.320
     5.875     6.121     4.167    -6.693    11.512     5.672     3.358    -7.075     6.446   -10.875   -12.624     2.561    -7.168     5.310     8.495   -10.158    -5.793     4.870     8.144    -7.552    17.152
     6.000     8.960    -2.001     9.568   -11.081     4.932     4.468     8.890    10.863    11.796   -13.018    -6.071     5.937     4.315     6.431    11.905     3.788     1.071   -10.934    10.321    15.833
     6.125    14.696     3.402    -8.363    11.744     3.631    -1.023     7.570     6.914    10.060   -12.895     1.574    14.805    -3.792     7.913    11.722     4.154     4.132    10.228   -10.317   -14.590
     6.250    -6.769    -6.886    -6.618    11.161     5.781    -3.832     7.118    11.457   -19.729   -12.147     2.808    11.334     2.263     5.226    11.920     4.827     1.252   -11.492     6.453    11.409
     6.375    13.088     3.537    -8.386    11.566     4.232     3.140    -8.687   -10.766    11.491     7.203     5.936    -6.990     3.007    -4.217    11.836     3.577     4.078     9.085     9.252   -10.045
     6.500    -5.398    -3.394     3.620    11.877     4.940    -4.993     7.559     6.461    14.518   -12.990    -5.495     7.890     2.696     8.694   -10.949     4.026    -4.812     9.282     6.958   -10.911
     6.625   -12.022    -5.094    -3.789    10.037     4.771     3.107     8.938   -10.930    14.592    13.022     4.927   -12.701     5.812     4.044   -11.400     5.168    -2.045    11.165   -10.766   -17.335
     6.750    -7.674     4.255     9.212    11.938     5.717     1.259     8.677     6.451   -17.794     7.531   -11.833   -12.845    -5.602     8.517    11.980    -4.859     2.249    10.349    -8.655    13.275
     6.875    11.208     4.265    -8.585   -11.138     3.053     2.297     9.026     7.032   -10.002     9.703     5.765    10.084     4.666     8.949   -10.912     5.992    -4.651    -7.471     6.144   -17.643
     7.000    12.631     4.829    -5.655    11.664    -4.550    -1.417    11.192     8.313    14.635     9.372    11.164     7.563    -3.670     4.155    11.322    -4.884     3.999     8.256    10.048    10.030
     7.125   -14.873     6.349     8.758    11.577     4.410    -1.736    11.795     6.832    11.538     9.509    -3.140     6.174     2.306     5.809    10.375     3.241     3.601    10.707     7.991    12.177
     7.250    13.296     6.198     5.823    10.219     4.299     1.732    11.316    11.416    15.227     9.700     6.689     8.839    -2.244     3.438   -11.868     3.165     1.194   -11.421    -6.953    17.744
     7.375     8.121    -6.285     3.186    10.917     5.162     2.670   -10.641     6.253    12.041    10.500    11.768     9.631    -4.836     5.167    10.613    -5.351     4.444    11.466   -11.911    13.307
     7.500    14.539     4.553     8.729    10.521    -5.529    -4.024     9.549   -11.207    14.510    10.763     5.091    13.490    -2.517    -8.573    10.062     3.256     2.184   -11.398     8.123   -16.587
     7.625    10.445     2.547     6.967    11.847     4.752     1.478     8.749     9.054   -11.092     8.221     5.509     6.195     3.077     3.823   -10.922     4.877    -4.573     7.936     6.244    16.759
     7.750   -13.625     4.589    -8.891    10.818     5.906     2.681     9.178    10.376    14.223     8.407     4.079     8.054     4.545     6.978   -11.813     5.441     2.362     9.050    11.674   -12.211
     7.875    10.333    -2.379     3.155    11.915     3.929    -4.794     8.672     9.646    16.824    11.802    -7.371    14.253     4.026     7.781    10.610     5.179     4.094   -11.518     9.849   -19.008
     8.000    13.515     4.430     5.086   -10.346     4.855     1.945     9.203     9.332    19.617    -7.933     6.235    13.316     2.259     6.553    10.901    -3.512     2.887    -8.567     6.496    16.656
     8.125    11.904     6.324     9.604    11.768     3.934     1.538    -9.800    10.715   -13.457     7.572     1.042   -10.302     6.096     5.502    11.180     3.822     2.679     9.384     9.315    11.693
     8.250    10.202     2.489    -9.847    10.183     4.507    -4.606   -11.467     8.178    12.910    -8.307    -8.208    -9.861    -2.233    -7.712   -10.995     3.846     4.070     9.813    11.958    13.328
     8.375    13.193    -3.703     7.053    10.156     5.042    -2.702     7.040    -9.209    10.070   -13.136    10.374    14.631     5.535    -3.579    10.274     4.188     3.613    -9.538    -9.555    14.508
     8.500    11.853    -3.540    -7.620    10.680    -5.644     3.970    -8.396     7.782   -10.653    12.304     3.121   -13.023    -2.145    -7.046    11.547     3.130     3.160    -7.792     9.425    13.827
     8.625    13.450     4.202     6.683    10.367     5.120     1.820     7.387    11.170   -17.561    -9.514    -2.132    11.055     4.049     5.113    11.638    -3.108    -4.225    10.272     7.344    12.800
     8.750     7.537    -2.266    -7.609   -10.710     4.840    -1.705   -11.599     6.353   -15.904    13.771     9.156   -13.065     4.383     4.528   -10.222    -4.846     1.447    -9.564    -6.982   -12.063
     8.875    12.350    -6.448    -3.462   -11.116    -4.057     4.800    10.214     8.355   -14.207     8.915    11.737    13.368     2.022     4.157    11.310     4.611    -2.587    -8.681     9.640   -17.220
     9.000    12.316    -3.961    -9.946   -11.398    -3.638    -4.050    11.383    -9.806   -10.521    -7.974     8.329   -13.807    -3.413     9.497   -10.819     5.790     2.932     9.438     6.789    16.023
     9.125    13.193    -5.399     4.783    11.685     4.851    -1.840     7.999     8.381   -14.985   -12.885     6.699    11.461    -6.895     8.768    10.285     5.205    -3.538   -11.469    -9.048    14.496
     9.250    12.193     3.604    -7.909   -11.661     3.421    -1.703    -8.962    -7.943    11.736    -8.726     8.052     5.877    -4.986     7.621    10.548    -4.540     1.484     9.165    10.635   -19.633
     9.375     9.299    -2.167     8.617    10.509    -5.639    -2.284     8.408   -10.014    15.278    11.099     8.777   -13.963     2.377    -8.233    10.299     4.683    -1.878    -8.119    10.142   -13.945
     9.500    -9.457    -3.635     5.015    10.064    -4.494    -1.370     7.201     8.684   -15.846    -8.770     8.366    13.934    -5.662    -4.195   -10.999    -3.466     1.687     8.067     9.485    10.675
     9.625   -12.527    -6.248     6.719    11.668     5.833     2.241     9.922   -10.680    11.199     9.732    -7.483    14.862    -5.101     9.752    10.785    -3.351     3.370    10.002     8.023   -11.024
     9.750     5.733     4.877     9.143    11.508    -5.407     1.013    -7.915     9.277    14.941   -12.785    -2.430     9.322     2.253     4.106   -11.437    -4.171    -2.225     8.587    -9.166    11.512
     9.875     7.035    -3.083    -9.240   -11.591    -4.694     3.163    11.055     8.935    18.031    -7.580    10.710   -13.964     2.165    -8.628    11.331    -3.211     3.795     7.225     8.449   -13.864
    10.000    12.858    -2.813     7.676   -10.197     5.261     3.007    10.589    11.213   -16.594     8.092     1.483   -10.313    -4.713     5.339    10.931     5.028     1.726     7.101     8.985    13.921
    10.125     8.094     5.826     6.535    11.390     5.950    -3.980    -9.855     6.175   -14.964     8.475    -1.698    14.044    -2.168     6.248    11.822    -5.052     3.739    11.535     6.236    12.267
    10.250     6.023     2.950     7.534    10.633    -3.934     4.663    -9.025     8.130    12.628    -8.320     2.567    11.272     6.210     7.283   -10.770     4.662     2.926     9.580     7.130   -10.318
    10.375    11.727     6.646     4.100    10.866     3.164     2.168    -9.019    -7.577    15.508    13.215     8.002    -8.944     2.462     6.144   -10.188     5.747     3.449    11.521     9.360   -18.260
    10.500    10.926     5.498     5.586    11.345     3.361     3.551   -11.811    10.265   -14.330    10.161     6.493   -11.895     5.901    -4.502    10.021     3.020     3.559     7.938     6.581   -10.435
    10.625    14.358     3.732     4.172   -10.711    -5.984     3.803   -10.364   -11.156   -12.006    11.690    11.997    -9.123    -3.441     3.519    10.666    -4.834     4.138     9.561    10.432    14.414
    10.750   -12.436    -5.445    -5.426   -10.366    -3.712    -3.572    -8.661   -10.867    15.404    -9.023    -9.749     9.291     2.880    -4.888    11.787     4.393    -3.560    -8.785     9.072   -12.908
    10.875    13.953    -3.467     8.023    10.217    -4.973     2.834     7.647    -9.362    14.718     8.523     7.962    12.628     6.716    -8.730    11.163    -3.112     3.446    -7.770     8.023    11.703
    11.000    -7.197    -5.744    -4.732    11.175     5.894     1.810    -7.034    -8.178   -18.040    -9.665     6.058   -13.606     3.678    -9.644   -10.703     3.054     2.187     8.044    11.548   -10.490
    11.125     5.196    -5.879     4.145   -10.378     4.441     2.299    -9.450     7.325    16.505    13.212    10.138    10.092    -5.317     3.485   -11.568     5.917     4.962    11.276     7.303   -13.697
    11.250    -7.971     4.870    -3.783    10.470    -5.734     2.873     8.974     6.518    10.657     7.839    -9.104     6.266     6.204     5.577    10.146    -3.441    -2.847    -8.735   -10.853    14.878
    11.375   -11.118     4.078     8.455   -11.525     3.729     2.038    -9.526     6.318    14.887    -8.072     7.791    11.594     3.068     5.301    10.457     5.162     3.474     9.465    11.403    13.620
    11.500     8.868     3.918    -8.877   -11.969     3.809     2.249     9.427     8.119    12.519   -12.408     7.673    10.855    -3.739     6.819   -11.379     4.580     1.207     8.524   -11.209   -16.131
    11.625    -5.837    -5.828     5.306    10.704     5.298    -4.391     7.519     6.577    10.641    12.489   -11.811    14.993     5.857    -3.871   -10.550     5.080     1.342     9.939     6.880    19.692
    11.750    13.107    -2.624    -3.788    11.739    -5.766     2.136     9.494     8.794    13.184     8.198     1.831    11.707     2.791    -6.758   -10.925     3.593     2.372    -8.213    11.237    19.775
    11.875    -8.396     5.434     6.506    10.148    -4.915    -1.964    11.102    11.309   -13.368     8.475     3.128    -5.147     2.995     7.800   -11.101    -3.802     1.261   -11.870    10.441    13.313
    12.000    -9.806    -3.808     5.214    11.958    -5.315    -2.258    10.842    -7.992    14.624     9.352    -2.973    14.583     6.575     4.556    10.306     5.595     2.432    -7.095    10.078    17.438
    12.125    14.764     3.317     8.049    11.333     5.652    -1.757    -9.197    10.317   -16.944     8.943     1.381   -12.952     2.642     8.241   -11.522     4.224     2.927    11.385     6.744    10.003
    12.250    12.972     6.286     7.756    11.695    -5.137     4.885    11.581    11.700    17.386     7.762    10.931    -8.769     2.584     4.804    10.333     5.978     3.744     9.066     6.772    12.401
    12.375     7.208    -2.729     4.822    10.346     3.729     3.777     9.497   -11.908    10.500    12.036     1.039     7.141     5.284     7.025   -10.691     5.854     4.352    -7.593     7.726    11.839
    12.500     8.133    -5.787     9.008    11.696    -4.339     2.978    11.074   -11.679    17.676    -9.932    -5.443    10.378     5.716     3.662   -10.930     3.114    -1.084   -10.440    11.315    12.295
    12.625     6.756     4.535     3.447    11.835     3.859     4.664     7.889    -9.255   -18.727   -13.959     6.614     7.963     4.804    -6.901    10.910    -5.283     4.435    10.999     7.477    16.356
    12.750    14.163     3.164    -8.692   -11.745     3.720     2.955    10.863    11.313   -17.292    10.442     7.304    13.612    -5.137     3.248    10.300     4.674     3.389   -11.517     9.325    10.291
    12.875     8.312    -5.158     3.869    10.034     4.723    -3.508    -9.640    10.466    15.346    11.360     9.033    11.395    -5.901     5.925    10.130    -3.852    -1.435     8.356     7.754    10.345
    13.000   -12.731     5.879    -6.926   -10.373    -3.875     1.240    -9.994   -11.914   -15.527   -10.426     6.775     8.099     2.396     9.469   -10.046     5.820     1.814     8.531    11.868    10.173
    13.125   -13.032     2.483     5.232    10.801     4.992    -3.090    -7.203    10.146    15.766    10.108     8.474    14.095     6.028    -3.154    11.104    -3.210     2.521     9.337   -10.695    19.536
    13.250   -13.420    -4.491     7.210   -10.994     5.026     3.218   -10.889     7.828   -13.160     8.092    -3.174     8.503     6.610     9.807    11.981     3.583     1.206   -10.649    -9.360    13.006
    13.375     5.600    -4.534     8.139    11.022    -3.099    -1.456    -7.183    -7.703   -12.205   -11.576     2.505     9.612     5.683     5.385    10.262    -5.158     4.231     9.846    11.996   -19.753
    13.500     5.536     2.480    -8.586    10.634     3.581     1.160   -11.588     9.039    12.662   -13.660    11.370    -9.352     4.505    -4.740   -11.931     4.424     1.279    10.849     7.794    10.070
    13.625   -11.713    -3.592    -7.043   -10.272     4.639     3.344    11.322    -6.049    19.419     8.002     5.746    -9.509     3.451     8.152    10.018    -4.406    -1.726    -8.757     6.030    10.710
    13.750   -12.982     6.583     6.568   -11.525    -4.300     4.290    11.368     8.816    15.939    11.454    -3.836    -6.656     2.389     9.564    11.567     5.436     4.228     8.921     9.001    16.467
    13.875    14.492     2.654     4.978    10.135    -5.637     1.924    -8.595     6.680    14.803     7.621   -11.995    12.085     2.365     7.860    10.114     5.081     1.699    -7.025    -7.819   -10.671
    14.000     7.587    -3.842    -8.163    10.252     4.715     4.926    -7.774    11.534   -14.984     9.726     1.703    -5.543     5.729     3.476    11.566    -3.544     4.922     9.974   -11.746    14.988
    14.125    -7.171    -5.973    -3.429    11.996     5.337    -2.936    11.780    10.013    17.029    10.087     8.229   -14.815     6.114     6.100   -11.382     5.058     4.473    11.032     6.698    14.510
    14.250     5.443     5.403     3.791   -10.746     4.190     4.112    10.875   -11.042    12.540    12.756    -8.967   -12.741    -3.126    -8.016   -11.216     3.019    -2.705     8.832     7.216   -18.912
    14.375    10.471     6.411     3.062    10.870     3.538     3.474    10.028     8.292    13.689    12.381    11.942    -8.937     5.357     4.450   -11.136     5.714    -4.873    -8.354    10.997    15.857
    14.500     8.406    -5.345    -3.499   -10.663     5.144     1.110    11.759    11.604    13.467    -9.636    10.649    11.425    -4.468    -7.601   -10.337     3.197     2.764     8.890     8.051    10.748
    14.625    -6.091     2.849     3.361    10.617     3.454     2.938     8.203   -11.711   -11.356    10.984     4.957    -5.641    -4.475     5.789    11.251    -5.506     3.200     8.821    -9.298    16.921
    14.750    -5.960     2.250    -3.381   -10.072     5.205     2.345    -8.055     6.125    17.828     9.194    -4.757    -8.198     3.815     3.869    11.519    -4.434     3.140     9.015     8.643   -14.003
    14.875     7.123     5.670     6.897   -11.963     4.186     2.423     9.464     9.750    13.406     7.786     7.695     6.625     5.469     6.680   -10.156     3.589     4.359    10.020     8.207    16.947
    15.000    -9.337     2.284     8.536   -11.802    -5.376     2.306   -11.003    -7.422    18.041    11.698     7.367    11.380     4.342     8.423    11.566    -3.577    -1.213     7.295     7.408    16.384
    15.125   -12.113    -2.595    -3.674    10.209    -4.862     2.389     9.980    11.100   -19.860   -11.475     9.779    11.509     3.229     4.202   -10.760     3.972     2.159    11.288    -7.165   -18.918
    15.250    12.129    -3.021    -5.800    10.347     4.531     3.649     8.507     6.272    14.590    13.136     3.117     6.090     5.737    -3.855    10.542     3.011     1.144     8.174   -11.245   -10.305
    15.375   -14.885     2.904     5.942   -10.378    -4.533     3.908    10.549     8.926   -19.519    13.129     2.653     5.683    -4.052    -3.859    11.967     4.978     2.024    -7.628    11.011   -17.199
    15.500   -12.148     5.611     4.044    11.195     4.394    -3.615    10.517     9.091    15.827    -9.758     7.666    13.914     3.943     7.440    11.968    -4.444    -1.561   -10.039   -10.339    10.699
    15.625   -12.141     2.907    -4.690    11.448     5.398     4.760    -9.334     8.628    19.718     8.266     1.872     5.082    -3.840     7.487    10.398     4.749    -3.816   -10.488    11.537    16.684
    15.750    14.713     6.141     4.832    10.776     3.599     1.150     7.450   -10.154   -12.879    11.947    -8.536    12.703     2.795    -4.771    10.861     3.257     1.229    10.455    10.483   -13.282
    15.875    12.291     3.795    -3.186   -10.435     3.445     4.512    11.476     8.358    12.752     7.425    -2.991    12.891     6.672     6.903    11.031     3.329    -4.931    -7.884     7.136   -15.838
    16.000     8.993    -3.220     9.131   -11.128    -4.498     3.987    11.923     9.700    12.099    10.382    -4.504   -11.658    -2.987    -4.206    11.219    -5.374    -3.461    -7.271    -9.404    18.259
    16.125    14.970     3.815     5.715    10.848     4.668     1.624    -8.928     9.048   -11.463     7.490     3.801    -6.359     6.233     4.544   -10.072     4.470     4.517    -7.531     6.526    16.646
    16.250    10.631     4.337     9.579    11.532    -4.772     1.905   -10.616   -10.059    11.578    11.567     6.543     7.612    -5.050     5.959    11.698     3.413    -4.215   -10.763     7.675   -11.026
    16.375     5.123     3.092    -5.899    10.344    -4.685    -4.705     7.695     7.300   -16.748    10.069     9.202     8.207     4.384    -8.179    10.032    -4.597    -3.774    -7.746     7.874   -17.465
    16.500   -14.405     3.745     6.002    11.722     3.288    -2.559     8.984     7.355    19.806    12.218    -1.054   -14.737    -3.082     7.616    11.598    -5.179    -4.838    -9.363     7.659    15.995
    16.625    13.799     4.756    -5.350    10.882     3.511     4.874    -8.609     6.616   -15.046   -10.405     9.961   -11.715    -4.736    -9.660   -10.872     3.893     1.535    -7.773     9.045   -15.251
    16.750     9.566     3.145     5.898   -11.306     5.364     4.817   -11.466     6.740    15.649    13.554    -6.553     8.513     2.205     7.458   -11.951    -5.919     2.205     7.380     8.510    10.327
    16.875    12.492     2.439     7.891   -11.917     4.572     2.179     7.342    11.446    13.338    13.284    -8.970     5.782    -3.506     3.704   -10.165     5.985     3.174    10.488    -7.432    15.513
    17.000    13.840    -3.176     5.662    11.143     4.159     1.879     7.360    -6.450   -14.215     9.967     1.910    12.296    -5.935     3.188    10.931     3.565     2.287    -8.152     7.918    18.598
    17.125    10.851     5.107    -9.678    11.374    -5.073    -2.481     9.574   -11.131   -15.949     7.379    -6.957    -6.751     5.115     4.373   -10.232    -3.498     1.614     7.434    -7.504    19.114
    17.250     7.856     6.763     6.336    11.376    -3.586     1.575     8.775    -7.208   -18.550    -8.904   -10.016     5.215    -5.907     7.785    10.126    -5.369    -1.115     7.887     7.976    15.897
    17.375    11.516     3.372     8.351    11.124    -3.080     1.827     9.700     8.246    17.982    10.060     9.754    11.620     3.511     6.352    10.821    -5.109     3.115    -9.283     8.182    10.063
    17.500    10.575    -5.146     7.290    10.070    -5.461    -4.304    -8.661    -9.687   -14.115   -11.171    11.266    13.227     3.963     6.348   -11.771    -4.295    -2.605    -7.209    -8.653    19.861
    17.625     9.378     4.329    -4.091    11.106     4.228     2.507    10.429    11.879   -10.463    12.847     5.137    -8.995     6.922    -4.806    10.818     3.472     1.830    -8.870    10.288    19.971
    17.750     6.457     4.329     6.464   -11.723     4.024     3.022     9.590    -8.179    17.706     8.518    -3.681    -8.593     2.895     8.666   -11.562     5.064     3.710     8.263    11.113   -19.298
    17.875     7.162     2.424     3.330    11.662    -4.299     1.810     9.732     7.933    13.377     9.568    -5.066    -9.679    -4.680     5.020    10.297     3.411     4.349    11.326    11.545    11.942
    18.000    -9.391    -6.180     5.540   -11.127     5.823     4.871    11.748   -11.446    11.624    12.850     5.162     8.914     5.918    -9.795    11.435    -3.758     2.561    10.803   -10.135   -12.954
    18.125    10.186     5.024     3.268    11.764     4.229     4.756   -10.335     7.192    15.694     7.591    -2.621     5.064     2.402    -5.776    11.556     4.810     3.697    10.577    -7.462   -18.727
    18.250     9.842     3.791     7.742   -10.452     5.058    -1.731     8.109    -8.870    10.568    10.772    11.687   -14.296     3.822    -5.766   -10.954     4.978     1.114    -8.083     9.424   -18.408
    18.375     6.564     5.016     3.000    10.808     3.352     3.863    -7.855    -9.672    12.286     7.511     6.131   -12.904     4.504    -6.099   -10.296    -4.127    -4.917     7.556    -7.627    10.234
    18.500    11.116    -5.282    -7.338   -11.922     4.915     3.122    10.750    11.985    17.200    -9.305    11.770     8.254    -4.823     8.330    10.486     3.412    -4.569   -10.532     9.526    19.397
